iter	RMSE
573	56453.62017
574	56453.62008
575	56453.62
576	56453.61992
577	56453.61984
578	56453.61984
579	56453.61984
580	56453.61984
581	56453.61984
582	56453.61976
583	56453.61968
584	56453.61968
585	56453.61968
586	56453.61968
587	56453.61961
588	56453.61953
589	56453.61946
590	56453.61946
591	56453.61939
592	56453.61932
593	56453.61925
594	56453.61925
595	56453.61919
596	56453.61919
597	56453.61913
598	56453.61906
599	56453.61906
600	56453.61906
601	56453.619
602	56453.619
603	56453.61894
604	56453.61894
605	56453.61888
606	56453.61883
607	56453.61877
608	56453.61872
609	56453.61866
610	56453.61861
611	56453.61861
612	56453.61861
613	56453.61856
614	56453.61856
615	56453.61856
616	56453.61851
617	56453.61851
618	56453.61846
619	56453.61846
620	56453.61841
621	56453.61841
622	56453.61837
623	56453.61837
624	56453.61832
625	56453.61828
626	56453.61828
627	56453.61823
628	56453.61819
629	56453.61819
630	56453.61819
631	56453.61819
632	56453.61819
633	56453.61815
634	56453.61811
635	56453.61811
636	56453.61807
637	56453.61807
638	56453.61807
639	56453.61803
640	56453.61799
641	56453.61799
642	56453.61799
643	56453.61799
644	56453.61795
645	56453.61792
646	56453.61792
647	56453.61792
648	56453.61792
649	56453.61788
650	56453.61785
651	56453.61781
652	56453.61778
653	56453.61775
654	56453.61772
655	56453.61772
656	56453.61769
657	56453.61769
658	56453.61766
659	56453.61766
660	56453.61765
661	56453.61763
662	56453.61763
663	56453.61763
664	56453.6176
665	56453.6176
666	56453.6176
667	56453.6176
668	56453.6176
669	56453.61757
670	56453.61757
671	56453.61757
672	56453.61754
673	56453.61751
674	56453.61749
675	56453.61746
676	56453.61744
677	56453.61744
678	56453.61744
679	56453.61741
680	56453.61739
681	56453.61736
682	56453.61734
683	56453.61732
684	56453.6173
685	56453.61728
686	56453.61727
687	56453.61727
688	56453.61727
689	56453.61725
690	56453.61725
691	56453.61723
692	56453.61721
693	56453.61719
694	56453.61719
695	56453.61719
696	56453.61717
697	56453.61716
698	56453.61716
699	56453.61716
700	56453.61714
701	56453.61712
702	56453.61712
703	56453.61712
704	56453.6171
705	56453.61708
706	56453.61708
707	56453.61707
708	56453.61705
709	56453.61705
710	56453.61705
711	56453.61704
712	56453.61702
713	56453.61702
714	56453.61702
715	56453.61702
716	56453.61702
717	56453.61702
718	56453.61702
719	56453.617
720	56453.617
721	56453.61699
722	56453.61697
723	56453.61697
724	56453.61697
725	56453.61697
726	56453.61697
727	56453.61696
728	56453.61695
729	56453.61695
730	56453.61693
731	56453.61692
732	56453.61691
733	56453.61691
734	56453.61689
735	56453.61688
736	56453.61688
737	56453.61688
738	56453.61688
739	56453.61688
740	56453.61688
741	56453.61687
742	56453.61687
743	56453.61686
744	56453.61686
745	56453.61686
746	56453.61685
747	56453.61685
748	56453.61685
749	56453.61685
750	56453.61683
751	56453.61682
752	56453.61681
753	56453.6168
754	56453.61679
755	56453.61679
756	56453.61679
757	56453.61679
758	56453.61679
759	56453.61679
760	56453.61678
761	56453.61677
762	56453.61676
763	56453.61676
764	56453.61675
765	56453.61674
766	56453.61673
767	56453.61673
768	56453.61672
769	56453.61672
770	56453.61671
771	56453.61671
772	56453.61671
773	56453.6167
774	56453.6167
775	56453.61669
776	56453.61668
777	56453.61668
778	56453.61667
779	56453.61667
780	56453.61666
781	56453.61666
782	56453.61666
783	56453.61665
784	56453.61665
785	56453.61665
786	56453.61665
787	56453.61665
788	56453.61665
789	56453.61664
790	56453.61663
791	56453.61663
792	56453.61663
793	56453.61663
794	56453.61662
795	56453.61661
796	56453.61661
797	56453.61661
798	56453.6166
799	56453.6166
800	56453.6166
801	56453.6166
802	56453.6166
803	56453.61659
804	56453.61658
805	56453.61658
806	56453.61658
807	56453.61658
808	56453.61658
809	56453.61657
810	56453.61657
811	56453.61657
812	56453.61657
813	56453.61656
814	56453.61656
815	56453.61656
816	56453.61655
817	56453.61655
818	56453.61655
819	56453.61654
820	56453.61654
821	56453.61654
822	56453.61653
823	56453.61653
824	56453.61653
825	56453.61653
826	56453.61652
827	56453.61652
828	56453.61652
829	56453.61652
830	56453.61651
831	56453.61651
832	56453.61651
833	56453.61651
834	56453.61651
835	56453.6165
836	56453.6165
837	56453.6165
838	56453.6165
839	56453.6165
840	56453.6165
841	56453.6165
842	56453.6165
843	56453.6165
844	56453.61649
845	56453.61649
846	56453.61649
847	56453.61649
848	56453.61649
849	56453.61649
850	56453.61649
851	56453.61649
852	56453.61649
853	56453.61649
854	56453.61649
855	56453.61648
856	56453.61648
857	56453.61648
858	56453.61648
859	56453.61647
860	56453.61647
861	56453.61647
862	56453.61647
863	56453.61647
864	56453.61647
865	56453.61647
866	56453.61647
867	56453.61646
868	56453.61646
869	56453.61646
870	56453.61646
871	56453.61646
872	56453.61645
873	56453.61645
874	56453.61645
875	56453.61645
876	56453.61645
877	56453.61645
878	56453.61645
879	56453.61645
880	56453.61644
881	56453.61644
882	56453.61644
883	56453.61644
884	56453.61644
885	56453.61644
886	56453.61644
887	56453.61644
888	56453.61644
889	56453.61644
890	56453.61644
891	56453.61644
892	56453.61643
893	56453.61643
894	56453.61643
895	56453.61643
896	56453.61643
897	56453.61643
898	56453.61643
899	56453.61643
900	56453.61643
901	56453.61642
902	56453.61642
903	56453.61642
904	56453.61642
905	56453.61642
906	56453.61642
907	56453.61642
908	56453.61642
909	56453.61642
910	56453.61642
911	56453.61642
912	56453.61642
913	56453.61642
914	56453.61641
915	56453.61641
916	56453.61641
917	56453.61641
918	56453.61641
919	56453.61641
920	56453.61641
921	56453.61641
922	56453.61641
923	56453.61641
924	56453.61641
925	56453.61641
926	56453.61641
927	56453.61641
928	56453.61641
929	56453.61641
930	56453.61641
931	56453.61641
932	56453.61641
933	56453.61641
934	56453.61641
935	56453.61641
936	56453.61641
937	56453.61641
938	56453.6164
939	56453.6164
940	56453.6164
941	56453.6164
942	56453.6164
943	56453.6164
944	56453.6164
945	56453.6164
946	56453.6164
947	56453.6164
948	56453.61639
949	56453.61639
950	56453.61639
951	56453.61639
952	56453.61639
953	56453.61639
954	56453.61639
955	56453.61639
956	56453.61639
957	56453.61639
958	56453.61639
959	56453.61639
960	56453.61639
961	56453.61639
962	56453.61639
963	56453.61639
964	56453.61639
965	56453.61639
966	56453.61639
967	56453.61639
968	56453.61639
969	56453.61639
970	56453.61639
971	56453.61639
972	56453.61639
973	56453.61639
974	56453.61639
975	56453.61639
976	56453.61639
977	56453.61638
978	56453.61638
979	56453.61638
980	56453.61638
981	56453.61638
982	56453.61638
983	56453.61638
984	56453.61638
985	56453.61638
986	56453.61638
987	56453.61638
988	56453.61638
989	56453.61638
990	56453.61638
991	56453.61638
992	56453.61638
993	56453.61637
994	56453.61637
995	56453.61637
996	56453.61637
997	56453.61637
998	56453.61637
999	56453.61637
